nombre_científico;autoridad;nombre_común;categoría_de_amenaza;origen
Eubalaena glacialis;(P.L.S. Müller, 1776);Ballena franca glacial; CR*;Nativa
Monachus monachus;(Hermann, 1779);Foca monje; CR*;Nativa
Mustela lutreola;(Linnaeus, 1761);Visón europeo;CR;Nativa
Balaenoptera musculus;(Linnaeus, 1758);Ballena azul;EN;Nativa
Balaenoptera borealis;Lesson, 1828;Rorcual norteño;EN;Errante
Crocidura canariensis;"Hutterer, Lopez-Jurado &amp; Vogel, 1987";Musaraña de Canarias;EN;Nativa
Lynx pardinus;(Temminck, 1827);Lince ibérico;EN;Nativa
Arvicola sapidus;Miller, 1908;Rata de agua;VU;Nativa
Barbastella barbastellus;(Schreber, 1774);Murciélago de bosque;VU;Nativa
Galemys pyrenaicus;(E. Geoffroy St. Hilaire, 1811);Desmán ibérico;VU;Nativa
Lepus castroviejoi;Palacios, 1977;Liebre de piornal;VU;Nativa
Myotis bechsteinii;(Kuhl, 1817);Murciélago ratonero forestal;VU;Nativa
Myotis capaccinii;(Bonaparte, 1837); Murciélago ratonero patudo;VU;Nativa
Phocoena phocoena;(Linnaeus, 1758);Marsopa común;VU;Nativa
Physeter macrocephalus;Linnaeus, 1758;Cachalote;VU;Nativa
Pipistrellus maderensis;(Dobson, 1878);Murciélago de Madeira;VU;Nativa
Plecotus teneriffae;Barret-Hamilton, 1907; Murciélago orejudo canario;VU;Nativa
Rhinolophus euryale;Blasius, 1853;Murciélago mediterráneo de herradura;VU;Nativa
Rhinolophus mehelyi;Matschie, 1901;Murciélago mediano de herradura;VU;Nativa
Crocidura pachyura;(Kuster, 1835);Musaraña de dientes blancos del norte de África;DD;Nativa
Delphinus delphis;Linnaeus, 1758;Delfín común oceánico de aletas cortas;DD;Nativa
Globicephala melas;(Traill, 1809);Calderón común;DD;Nativa
Grampus griseus;(G. Cuvier, 1812);Calderón gris;DD;Nativa
Hyperoodon ampullatus;(Forster, 1770);Calderón boreal;DD;Nativa
Mesoplodon bidens;(Sowerby, 1804);Zifio de Sowerby;DD;Nativa
Mesoplodon densirostris;(Blainville, 1817);Zifio de Blainville;DD;Nativa
Mesoplodon europaeus;(Gervais, 1855);Zifio de Gervais;DD;Nativa
Mesoplodon mirus;True, 1913;Zifio de True;DD;Nativa
Myotis alcathoe;"von Helversen &amp; Heller, 2001";Murciélago ratonero bigotudo pequeño;DD;Nativa
Nyctalus lasiopterus;(Schreber, 1780);Nóctulo mayor;DD;Nativa
Orcinus orca;(Linnaeus, 1758);Orca;DD;Nativa
Stenella coeruleoalba;(Meyen, 1833);Delfín listado;DD;Nativa
Tursiops truncatus;(Montagu, 1821);Delfín mular;DD;Nativa
Ziphius cavirostris;G. Cuvier, 1823;Zifio de Cuvier;DD;Nativa
Balaenoptera physalus;(Linnaeus, 1758);Rorcual común;NT;Nativa
Eliomys quercinus;(Linnaeus, 1766);Lirón común;NT;Nativa
Lutra lutra;(Linnaeus, 1758);Nutria europea;NT;Nativa
